epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,22378,1.16039,0.59647,1.13154,0.95176,0.93869,0.9661,0.62057,1.00174,3.80689,0.79143,0.00472,0.00472,0.00472
82,24686.6,1.15937,0.59659,1.13136,0.95251,0.94016,0.96682,0.62159,1.00019,3.71097,0.79093,0.004654,0.004654,0.004654
83,26931.5,1.15459,0.59145,1.12757,0.95195,0.94061,0.96739,0.62206,0.99944,3.68459,0.79064,0.004588,0.004588,0.004588
84,2144.6,1.13793,0.57592,1.11904,0.95308,0.93927,0.96727,0.62177,0.99991,3.62018,0.7908,0.004522,0.004522,0.004522
85,4307.36,1.14471,0.58257,1.12266,0.95444,0.93807,0.9669,0.6217,0.99961,3.63486,0.79072,0.004456,0.004456,0.004456
86,6476.17,1.14923,0.58445,1.12624,0.95364,0.93921,0.96674,0.62196,0.99921,3.67991,0.79083,0.00439,0.00439,0.00439
87,8656.64,1.14638,0.58363,1.12673,0.95308,0.93907,0.96691,0.62204,0.99892,3.70861,0.79083,0.004324,0.004324,0.004324
88,10851.5,1.14544,0.5843,1.12604,0.95277,0.93945,0.96705,0.62167,0.99893,3.76321,0.79089,0.004258,0.004258,0.004258
89,12991.8,1.14434,0.58135,1.12552,0.95308,0.94012,0.96718,0.62136,0.9991,3.75855,0.79104,0.004192,0.004192,0.004192
90,15122.9,1.1445,0.58298,1.12375,0.95272,0.93954,0.96735,0.62153,0.99923,3.7274,0.79101,0.004126,0.004126,0.004126
91,17264.3,1.14421,0.58243,1.12704,0.95243,0.94002,0.96738,0.62173,0.99882,3.71782,0.79089,0.00406,0.00406,0.00406
92,19419.9,1.14251,0.58261,1.12404,0.95288,0.93993,0.9673,0.62197,0.99878,3.78217,0.7907,0.003994,0.003994,0.003994
93,21573,1.14551,0.58004,1.12341,0.95327,0.93949,0.9674,0.62224,0.99804,3.90775,0.79041,0.003928,0.003928,0.003928
94,23756.8,1.14331,0.58101,1.1239,0.95331,0.93912,0.96714,0.62287,0.99662,3.90551,0.78997,0.003862,0.003862,0.003862
95,25879.5,1.137,0.57676,1.11949,0.95365,0.93882,0.96709,0.62268,0.99526,3.97215,0.7894,0.003796,0.003796,0.003796
96,28012.7,1.13804,0.57713,1.11998,0.95338,0.93955,0.96734,0.62273,0.99423,3.98582,0.78888,0.00373,0.00373,0.00373
97,30150.7,1.13434,0.5753,1.1172,0.95202,0.93902,0.96721,0.6227,0.99417,4.01652,0.78882,0.003664,0.003664,0.003664
98,32291,1.13755,0.57545,1.11901,0.95273,0.93836,0.96714,0.62242,0.9939,4.09486,0.78889,0.003598,0.003598,0.003598
99,34434.4,1.13291,0.57209,1.11417,0.95363,0.93833,0.9673,0.62289,0.99312,4.08895,0.78877,0.003532,0.003532,0.003532
100,36604.9,1.1317,0.57207,1.11644,0.95355,0.93893,0.96752,0.62266,0.99258,4.06205,0.78884,0.003466,0.003466,0.003466
